name,rating,reviews,industry_sector,no_of_employees,company_type,how_old,head_quarters
Sun Business Solutions,4.1,83,IT Services & Consulting , 201-500 Employees , 14 years old ," Chennai +8 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits",
APPL Industries,3.7,83,Chemicals , 201-500 Employees , Public , 33 years old , Pune +12 more
Obeetee,3.9,83,Fashion & Textile , 51-200 Employees , 88 years old ," Noida +10 more
								    Critically Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction",
Axtel Industries,4.1,83,Industrial Machinery , 51-200 Employees , Public , 33 years old , Vadodara/Baroda +1 more
RELX Group,3.9,83,Internet , 201-500 Employees , Forbes Global 2000 , 31 years old , London +5 more
Kalindee Rail Nirman (E),3.9,83,Telecom , 1k-5k Employees , Public , 40 years old , Delhi/NCR +13 more
Pride Technologies,3.7,83,Recruitment , 51-200 Employees , 42 years old ," New York +7 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",
Digital Web Solutions,4.3,83,IT Services & Consulting , 11-50 Employees , 19 years old ," Gurgaon +5 more
								   Highly Rated For Job Security, Work Satisfaction, Skill Development / Learning",
Aravind Eye Hospital,4.0,83,Healthcare , 51-200 Employees , 48 years old ," Madurai +15 more
								   Highly Rated For Skill Development / Learning, Job Security, Work Satisfaction  Critically Rated For Salary & Benefits, Promotions / Appraisal",
Continental Tyres,3.6,83,Auto Components , 32 years old ," Bhopal +15 more
								    Critically Rated For Promotions / Appraisal",,
Kasturba Medical College,4.5,83,Education & Training , 501-1k Employees , 71 years old ," Udupi +6 more
								   Highly Rated For Skill Development / Learning, Job Security, Work Satisfaction",
Captain Tractors,3.9,83,Automobile , 51-200 Employees , 30 years old ," Rajkot  +11 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
Varrsana Ispat,3.5,83,Engineering & Construction , 501-1k Employees , Public , 24 years old , New Delhi +8 more
Nestor Pharmaceuticals,3.5,83,Pharma , 51-200 Employees , Public , 107 years old , New Delhi +8 more
Saboo RKS Motor,4.3,83,Automobile , 51-200 Employees , 51 years old ," Hyderabad +7 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
Nijji Healthcare,3.6,83,BPO , 51-200 Employees , 11 years old ," Kolkata +16 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Starion India,3.8,83,Electronics Manufacturing , 51-200 Employees , 23 years old ," Noida +9 more
								    Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",
Empire Spices & Foods,4.5,83,FMCG , 501-1k Employees , 30 years old ," Nasik/Nashik +15 more
								   Highly Rated For Company Culture, Work Satisfaction, Work Life Balance",
Luxottica India Eyewear,4.0,83,Fashion & Textile , 51-200 Employees , 63 years old ," Milan +15 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Nestor Pharmaceuticals,3.5,83,Pharma , 51-200 Employees , Public , 107 years old , New Delhi +8 more
Magna Steyr,4.4,83,Automobile , 51-200 Employees , 67 years old ," Aurora +1 more
								   Highly Rated For Company Culture, Job Security, Work Life Balance",
Linux Laboratories,3.4,83,Pharma , 11-50 Employees , 17 years old ," Chennai +18 more
								    Critically Rated For Work Life Balance, Promotions / Appraisal, Company Culture",
Mindtree Solutions,3.8,83,1-10 Employees ," Delhi +6 more
								   Highly Rated For Job Security, Skill Development / Learning, Work Life Balance  Critically Rated For Promotions / Appraisal",,,
Hipower Support Center,3.1,83,BPO , 1k-5k Employees (Global) , 10 years old ," Bengaluru +1 more
								    Critically Rated For Promotions / Appraisal, Work Life Balance, Skill Development / Learning",
Simeio Solutions,3.7,83,IT Services & Consulting , 201-500 Employees , 15 years old ," Mumbai +4 more
								   Highly Rated For Skill Development / Learning, Job Security  Critically Rated For Promotions / Appraisal",
Azuga Telematics,3.3,83,Software Product , 51-200 Employees , 12 years old ," San Jose +4 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture",
vConstruct,4.0,83,Engineering & Construction , 201-500 Employees , 11 years old ," Pune
								   Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",
Captain Tractors,3.9,83,Automobile , 51-200 Employees , 30 years old ," Rajkot  +11 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",
NBFC,4.0,83,Insurance ," Gurgaon/Gurugram +41 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Work Life Balance",,,
All India Institute of Local Self Government,3.6,83,Healthcare , 1k-5k Employees , 98 years old ," Mumbai +26 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
DigitalTrack Solutions,4.1,83,IT Services & Consulting , 201-500 Employees , 20 years old ," Chennai +11 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture",
Jumbo Electronics,3.3,83,Retail , 51-200 Employees , 50 years old ," Dubai +14 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
Obeetee,3.9,83,Fashion & Textile , 51-200 Employees , 88 years old ," Noida +10 more
								    Critically Rated For Work Life Balance, Promotions / Appraisal, Work Satisfaction",
Axtel Industries,4.1,83,Industrial Machinery , 51-200 Employees , Public , 33 years old , Vadodara/Baroda +1 more
Samsung Semiconductor,3.6,83,11-50 Employees , 41 years old ," San Jose +4 more
								   Highly Rated For Job Security, Salary & Benefits  Critically Rated For Company Culture",,
Indian Potash,3.7,83,Agro Chemicals , 1k-5k Employees , 69 years old ,"  Chennai +26 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Krishna Institute of Medical Sciences,4.2,83,Healthcare , 501-1k Employees , 24 years old ," Karad +10 more
								   Highly Rated For Job Security, Work Life Balance, Skill Development / Learning",
Little Flower School,4.2,83,Education & Training , 11-50 Employees ," Maryland  +31 more
								   Highly Rated For Promotions / Appraisal, Work Life Balance, Skill Development / Learning",,
MahaOnline,4.7,83,IT Services & Consulting , 501-1k Employees (Global) , Public , 14 years old , Mumbai +19 more
Symantec Software Solutions,4.4,83,IT Services & Consulting , 51-200 Employees ," Pune +4 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",,
Jumeirah International,4.6,83,Hospitality , 201-500 Employees , 27 years old ," Dubai +3 more
								   Highly Rated For Company Culture, Skill Development / Learning, Salary & Benefits",
Huber Suhner Electronics,3.7,83,Electrical Equipment , 51-200 Employees , 55 years old ," Pfäffikon +5 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",
CL MICROMED,3.8,83,Medical Equipment , 51-200 Employees , 37 years old ," New Delhi +10 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",
S R Enterprises,3.5,83,Electrical Equipment , 11-50 Employees , 25 years old ," Mumbai +30 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Magna Steyr,4.4,83,Automobile , 51-200 Employees , 67 years old ," Aurora +1 more
								   Highly Rated For Company Culture, Job Security, Work Life Balance",
Bhashyam Educational Institutions,4.4,83,Education & Training , 201-500 Employees , 26 years old ," Guntur +19 more
								   Highly Rated For Company Culture, Skill Development / Learning, Job Security",
Ascent Meditech,3.5,83,51-200 Employees , 12 years old ," Silvassa +18 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Life Balance",,
Indovision Services,3.9,83,IT Services & Consulting , 501-1k Employees , 12 years old ," Delhi/NCR +20 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits",
Kalburgi Cement,3.8,83,Building Material , 51-200 Employees , 16 years old ," Hyderabad +11 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal",
CriticalRiver,3.4,83,IT Services & Consulting , 201-500 Employees , 10 years old ," Pleasanton +4 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",
Foodhall Future Group,4.1,83,Retail , 201-500 Employees (Global) , Public , 13 years old , Bangalore +9 more
Gfl,3.9,83,Chemicals , 1k-5k Employees , Public , 37 years old , Noida +7 more
Motherson Molds And Diecasting,3.5,83,Auto Components , 51-200 Employees , 18 years old ," Gurgaon +6 more
								    Critically Rated For Salary & Benefits, Work Life Balance, Company Culture",
Indian Potash,3.7,83,Agro Chemicals , 1k-5k Employees , 69 years old ,"  Chennai +26 more
								   Highly Rated For Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",
Azuga Telematics,3.3,83,Software Product , 51-200 Employees , 12 years old ," San Jose +4 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Company Culture",
All India Institute of Local Self Government,3.6,83,Healthcare , 1k-5k Employees , 98 years old ," Mumbai +26 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
NBFC,4.0,83,Insurance ," Gurgaon/Gurugram +41 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Work Life Balance",,,
vConstruct,4.0,83,Engineering & Construction , 201-500 Employees , 11 years old ," Pune
								   Highly Rated For Company Culture, Job Security, Work Life Balance  Critically Rated For Promotions / Appraisal",
Nxtgen Datacenter Cloud Technologies,3.4,83,IT Services & Consulting , 201-500 Employees , Startup , 12 years old , Bangalore +5 more
Continental Carbon India,4.1,83,Chemicals , 201-500 Employees , 24 years old ," Ghaziabad +3 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Spaze Towers,3.8,83,Real Estate , 51-200 Employees , 18 years old ," Gurgaon/Gurugram +2 more
								    Critically Rated For Promotions / Appraisal",
Itron,4.2,83,Waste Management , 501-1k Employees , 47 years old ," Liberty Lake +6 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
Machino Polymers,3.3,83,Petrochemicals , 501-1k Employees , Public , 29 years old , Gurgaon +10 more
Laxmi India Finleasecap,4.2,83,51-200 Employees , 28 years old ," Kolkata +32 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Work Satisfaction",,
Zopsmart Technology,3.1,83,Software Product , 201-500 Employees , Startup , 10 years old , Bangalore +8 more
Mining Engineering Services,3.8,83,Import & Export ," Vadodara +5 more
								    Critically Rated For Skill Development / Learning",,,
GAP IT Services India,3.8,83,IT Services & Consulting , 501-1k Employees , 19 years old ," San Francisco
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Job Security, Promotions / Appraisal",
Outbooks Outsourcing,3.9,83,Accounting & Auditing , 201-500 Employees ," Harrow +5 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",,
Flixstock,3.7,83,Software Product , 51-200 Employees , Startup , 9 years old , Cumming +1 more
Scymes Services,3.9,83,IT Services & Consulting , 501-1k Employees , Startup ," Mumbai +12 more
								   Highly Rated For Work Life Balance, Work Satisfaction, Company Culture",
Deqode,3.6,83,IT Services & Consulting , 51-200 Employees , 12 years old ," San Francisco +1 more
								    Critically Rated For Work Satisfaction, Work Life Balance, Promotions / Appraisal",
Nordex India,3.6,83,Internet , 51-200 Employees , 39 years old ," Hamburg +10 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning",
L&T Minerals & Metals,4.2,83,Engineering & Construction , 1k-5k Employees ," Kolkata +12 more
								   Highly Rated For Job Security, Skill Development / Learning, Company Culture",,
Gurukul School,4.4,83,Education & Training , 51-200 Employees , 22 years old ," Ghaziabad +29 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Job Security",
Detox Group,4.0,83,51-200 Employees ," Surat +9 more
								   Highly Rated For Skill Development / Learning",,,
Hipower Support Center,3.1,83,BPO , 1k-5k Employees (Global) , 10 years old ," Bengaluru +1 more
								    Critically Rated For Promotions / Appraisal, Work Life Balance, Skill Development / Learning",
"East Wind Footwear Company Ltd.,",4.4,83,Fashion & Textile , 1k-5k Employees ," Cheyyar +3 more
								   Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",,
Guardian Healthcare Services,3.7,83,Fitness & Wellness , 501-1k Employees , 8 years old ," Mumbai +15 more
								    Critically Rated For Job Security, Promotions / Appraisal, Salary & Benefits",
COSMO Infrasolutions,4.1,83,Telecom , 501-1k Employees , 24 years old ," Jaipur +11 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture",
Machino Polymers,3.3,83,Petrochemicals , 501-1k Employees , Public , 29 years old , Gurgaon +10 more
Luxottica India Eyewear,4.0,83,Fashion & Textile , 51-200 Employees , 63 years old ," Milan +15 more
								   Highly Rated For Work Life Balance, Job Security, Company Culture  Critically Rated For Promotions / Appraisal",
Classic Marble Company,4.1,83,Building Material , 201-500 Employees , 30 years old ," Mumbai +11 more
								   Highly Rated For Job Security, Work Life Balance, Salary & Benefits  Critically Rated For Promotions / Appraisal",
Empire Spices & Foods,4.5,83,FMCG , 501-1k Employees , 30 years old ," Nasik/Nashik +15 more
								   Highly Rated For Company Culture, Work Satisfaction, Work Life Balance",
Nijji Healthcare,3.6,83,BPO , 51-200 Employees , 11 years old ," Kolkata +16 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",
Detox Group,4.0,83,51-200 Employees ," Surat +9 more
								   Highly Rated For Skill Development / Learning",,,
Laxmi India Finleasecap,4.2,83,51-200 Employees , 28 years old ," Kolkata +32 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Work Satisfaction",,
APPL Industries,3.7,83,Chemicals , 201-500 Employees , Public , 33 years old , Pune +12 more
Bhashyam Educational Institutions,4.4,83,Education & Training , 201-500 Employees , 26 years old ," Guntur +19 more
								   Highly Rated For Company Culture, Skill Development / Learning, Job Security",
Saboo RKS Motor,4.3,83,Automobile , 51-200 Employees , 51 years old ," Hyderabad +7 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
Kasturba Medical College,4.5,83,Education & Training , 501-1k Employees , 71 years old ," Udupi +6 more
								   Highly Rated For Skill Development / Learning, Job Security, Work Satisfaction",
Nxtgen Datacenter Cloud Technologies,3.4,83,IT Services & Consulting , 201-500 Employees , Startup , 12 years old , Bangalore +5 more
Kreate Energy,3.6,83,Power , 51-200 Employees , 27 years old ," New Delhi +11 more
								   Highly Rated For Work Life Balance, Job Security  Critically Rated For Salary & Benefits, Promotions / Appraisal",
GAP IT Services India,3.8,83,IT Services & Consulting , 501-1k Employees , 19 years old ," San Francisco
								   Highly Rated For Work Life Balance, Company Culture  Critically Rated For Job Security, Promotions / Appraisal",
Flixstock,3.7,83,Software Product , 51-200 Employees , Startup , 9 years old , Cumming +1 more
SVP Hospital,3.8,83,1-10 Employees ," Ahmedabad +8 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Job Security",,,
Outbooks Outsourcing,3.9,83,Accounting & Auditing , 201-500 Employees ," Harrow +5 more
								   Highly Rated For Company Culture, Skill Development / Learning, Work Life Balance",,
ICE Data Services,3.5,83,Financial Services , 501-1k Employees , Public , 24 years old , Atlanta +2 more
Teqtous Inc,5.0,83,IT Services & Consulting , 11-50 Employees ," Bengaluru/Bangalore +2 more
								   Highly Rated For Job Security, Work Life Balance, Work Satisfaction",,
DesiChef,2.4,83,"Ludhiana +10 more
								    Critically Rated For Job Security, Salary & Benefits, Work Satisfaction",,,,
Magnit Global,3.7,83,Software Product , 1k-5k Employees ," Vadodara +1 more
								   Highly Rated For Salary & Benefits, Work Life Balance  Critically Rated For Promotions / Appraisal, Job Security",,
Oswal Industries,3.9,82,Financial Services , 201-500 Employees , 39 years old ," Mumbai +7 more
								   Highly Rated For Work Life Balance",
Alexander Mann Solutions,3.1,82,Recruitment , 201-500 Employees , 28 years old ," London +11 more
								    Critically Rated For Job Security, Work Satisfaction, Promotions / Appraisal",
LNJ Bhilwara Group,4.1,82,Fashion & Textile , 1k-5k Employees , Conglomerate , 64 years old , Noida +15 more
Lister Technologies,4.0,82,IT Services & Consulting , 501-1k Employees , 24 years old ," Chennai +1 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Satisfaction",
Velocity Software Solutions,4.2,82,IT Services & Consulting , 11-50 Employees , 18 years old ," Noida +6 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Job Security",
Global Talent Track,3.8,82,Education & Training , 501-1k Employees , 16 years old ," Pune +6 more
								   Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Shriji Polymers,4.0,82,Packaging , 51-200 Employees , Public , 21 years old , Ujjain +7 more
Surya Food & Agro,3.5,82,Food Processing , 1k-5k Employees , 30 years old ," Noida +18 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",
P&R Infraprojects,4.2,82,Engineering & Construction , 201-500 Employees , 38 years old ," Chandigarh +13 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture",
Dd Motors,3.7,82,Automobile , 1k-5k Employees (Global) , 28 years old , New Delhi +4 more,
Iprogrammer Solutions,4.2,82,IT Services & Consulting , 51-200 Employees , 17 years old ," Missoula +1 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Salary & Benefits",
Tekshapers Software Solutions,3.0,82,IT Services & Consulting , 201-500 Employees , 15 years old ," Troy +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
Century Real Estate,4.2,82,Real Estate , 201-500 Employees , 51 years old ," Bangalore/Bengaluru +3 more
								   Highly Rated For Salary & Benefits, Job Security, Company Culture",
YCH Logistics,4.1,82,Logistics , 51-200 Employees , 69 years old ," Singapore +17 more
								   Highly Rated For Job Security, Company Culture, Work Satisfaction",
Believers Church Medical College Hospital,4.1,82,Healthcare , 501-1k Employees , 10 years old ," Thiruvalla +3 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
Br.CAT International,3.6,82,Oil & Gas , 10k-50k Employees (Global) , 87 years old ," Al Khobar +5 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning",
Chryso,4.1,82,Building Material , 51-200 Employees , 82 years old ," Navi Mumbai +17 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
MINI MUTHOOTTU NIDHI K,3.5,82,NBFC , 501-1k Employees , Public , 103 years old , Kochi/Cochin +37 more
SoCoMo Technologies,3.3,82,Internet , 51-200 Employees , Startup , 10 years old , Chandigarh +18 more
Local Company,3.9,82,Real Estate , 501-1k Employees ," Kolkata +37 more
								   Highly Rated For Skill Development / Learning, Salary & Benefits, Company Culture",,
Rishi Laser,3.7,82,201-500 Employees , Public , 32 years old ," Mumbai +10 more
								    Critically Rated For Company Culture, Promotions / Appraisal, Salary & Benefits",
Ortel Communications,3.5,82,Media & Entertainment , 51-200 Employees , Public , 29 years old , Bhubaneswar +16 more
Vijay Raja Homes,4.1,82,Real Estate , 501-1k Employees , 75 years old ," Chennai +1 more
								   Highly Rated For Work Satisfaction, Salary & Benefits, Job Security",
Areteans,3.5,82,IT Services & Consulting , 501-1k Employees , 9 years old ," Kondapur +7 more
								    Critically Rated For Work Life Balance, Job Security, Company Culture",
Radio City 91.1 FM,3.9,82,Broadcasting , 501-1k Employees (Global) , 23 years old ," Mumbai +26 more
								   Highly Rated For Work Life Balance, Job Security, Skill Development / Learning",
Surya Food & Agro,3.5,82,Food Processing , 1k-5k Employees , 30 years old ," Noida +18 more
								    Critically Rated For Promotions / Appraisal, Job Security, Work Satisfaction",
Virgo Group,3.9,82,1k-5k Employees , 31 years old ," Chandigarh +26 more
								   Highly Rated For Skill Development / Learning, Work Life Balance",,
SembCorp,4.1,82,Power , 501-1k Employees , Public , 26 years old , Singapore +16 more
MakroCare,3.8,82,Pharma , 201-500 Employees , 28 years old ," Princeton
								    Critically Rated For Salary & Benefits",
Hind Terminals,4.1,82,Logistics , 1k-5k Employees , 19 years old ," Mumbai +14 more
								   Highly Rated For Job Security, Work Life Balance, Salary & Benefits",
F5 Networks,4.0,82,IT Services & Consulting , 501-1k Employees , Public , 28 years old , Seattle +4 more
Hindusthan Engineering & Industries,2.9,82,Industrial Machinery , 1k-5k Employees , 84 years old ," Kolkata +14 more
								    Critically Rated For Promotions / Appraisal, Job Security, Salary & Benefits",
Rinac India,3.9,82,Import & Export , 1k-5k Employees , 30 years old ," Bangalore/Bengaluru +14 more
								   Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Vertex Homes,3.5,82,Real Estate , 201-500 Employees , 30 years old ," Hyderabad/Secunderabad +2 more
								    Critically Rated For Company Culture, Promotions / Appraisal, Salary & Benefits",
Dd Motors,3.7,82,Automobile , 1k-5k Employees (Global) , 28 years old , New Delhi +4 more,
Cheminova,4.0,82,Agriculture , 1k-5k Employees , 86 years old ," Lemwig +21 more
								   Highly Rated For Work Life Balance, Skill Development / Learning, Company Culture  Critically Rated For Job Security",
United Biotech,3.9,82,Pharma , 1k-5k Employees , 27 years old ," Delhi/NCR +16 more
								   Highly Rated For Job Security, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",
Prumatech Services,4.1,82,Industrial Machinery , 11-50 Employees , 28 years old ," Chennai +8 more
								   Highly Rated For Job Security, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Century Real Estate,4.2,82,Real Estate , 201-500 Employees , 51 years old ," Bangalore/Bengaluru +3 more
								   Highly Rated For Salary & Benefits, Job Security, Company Culture",
Ortel Communications,3.5,82,Media & Entertainment , 51-200 Employees , Public , 29 years old , Bhubaneswar +16 more
Man Infraconstruction,4.0,82,Real Estate , 201-500 Employees , Public , 60 years old , Mumbai +4 more
SSP India,3.9,82,IT Services & Consulting , 51-200 Employees , 22 years old ," Halifax +10 more
								   Highly Rated For Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal",
MicroGenesis CADSoft,4.5,82,Software Product , 51-200 Employees , 27 years old ," Bangalore/Bengaluru +8 more
								   Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",
SembCorp,4.1,82,Power , 501-1k Employees , Public , 26 years old , Singapore +16 more
MakroCare,3.8,82,Pharma , 201-500 Employees , 28 years old ," Princeton
								    Critically Rated For Salary & Benefits",
Hind Terminals,4.1,82,Logistics , 1k-5k Employees , 19 years old ," Mumbai +14 more
								   Highly Rated For Job Security, Work Life Balance, Salary & Benefits",
Sensiple,3.5,82,IT Services & Consulting , 201-500 Employees , 25 years old ," Iselin
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Job Security",
F5 Networks,4.0,82,IT Services & Consulting , 501-1k Employees , Public , 28 years old , Seattle +4 more
Nippon Data Systems,4.0,82,IT Services & Consulting , 201-500 Employees , 30 years old ," Noida +12 more
								   Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal",
JMT Auto,4.0,82,Auto Components , 501-1k Employees , Public , 37 years old , Jamshedpur +6 more
Indian Red Cross Society,4.2,82,Non-Profit , 201-500 Employees , 104 years old ," New Delhi +42 more
								   Highly Rated For Company Culture, Work Life Balance, Work Satisfaction",
Experian,3.8,82,IT Services & Consulting , 201-500 Employees , Forbes Global 2000 , 18 years old , Costa Mesa +4 more
SS Construction,4.3,82,Engineering & Construction , 51-200 Employees , 46 years old ," Chandigarh +22 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Work Life Balance",
V2soft,3.8,82,IT Services & Consulting , 51-200 Employees , 26 years old ," Bloomfield Hills +4 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",
Servosys Solutions,3.1,82,Financial Services , 51-200 Employees , 12 years old ," Gurgaon +6 more
								    Critically Rated For Work Life Balance, Work Satisfaction, Company Culture",
FANUC,3.8,82,Industrial Machinery , 501-1k Employees , Forbes Global 2000 , 68 years old , Oshino +12 more
Rinac India,3.9,82,Import & Export , 1k-5k Employees , 30 years old ," Bangalore/Bengaluru +14 more
								   Highly Rated For Job Security, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",
Caterpillar Signs,3.5,82,Printing & Publishing ," Ahmedabad +2 more
								    Critically Rated For Skill Development / Learning, Promotions / Appraisal, Salary & Benefits",,,
Reliable Spaces,3.2,82,Real Estate , 51-200 Employees , 20 years old ," Navi Mumbai +2 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
rProcess Outsourcing Services,3.8,82,Analytics & KPO , 501-1k Employees (Global) , 14 years old ," Bengaluru +1 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Skill Development / Learning",
PETROJET,3.4,82,Engineering & Construction , 10k-50k Employees (Global) , 49 years old ," Cairo +13 more
								    Critically Rated For Promotions / Appraisal, Company Culture, Work Satisfaction",
Embassy Services,3.7,82,"bangalore +12 more
								    Critically Rated For Promotions / Appraisal",,,,
Primary Health Centre,4.3,82,"Chennai +33 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction  Critically Rated For Promotions / Appraisal",,,,
SoCoMo Technologies,3.3,82,Internet , 51-200 Employees , Startup , 10 years old , Chandigarh +18 more
Believers Church Medical College Hospital,4.1,82,Healthcare , 501-1k Employees , 10 years old ," Thiruvalla +3 more
								   Highly Rated For Skill Development / Learning, Company Culture, Job Security  Critically Rated For Promotions / Appraisal",
Br.CAT International,3.6,82,Oil & Gas , 10k-50k Employees (Global) , 87 years old ," Al Khobar +5 more
								   Highly Rated For Job Security  Critically Rated For Promotions / Appraisal, Company Culture, Skill Development / Learning",
Chryso,4.1,82,Building Material , 51-200 Employees , 82 years old ," Navi Mumbai +17 more
								   Highly Rated For Job Security, Work Life Balance, Company Culture",
Experian,3.8,82,IT Services & Consulting , 201-500 Employees , Forbes Global 2000 , 18 years old , Costa Mesa +4 more
Oswal Industries,3.9,82,Financial Services , 201-500 Employees , 39 years old ," Mumbai +7 more
								   Highly Rated For Work Life Balance",
SS Construction,4.3,82,Engineering & Construction , 51-200 Employees , 46 years old ," Chandigarh +22 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Work Life Balance",
V2soft,3.8,82,IT Services & Consulting , 51-200 Employees , 26 years old ," Bloomfield Hills +4 more
								    Critically Rated For Promotions / Appraisal, Skill Development / Learning, Job Security",
Reliable Spaces,3.2,82,Real Estate , 51-200 Employees , 20 years old ," Navi Mumbai +2 more
								    Critically Rated For Salary & Benefits, Promotions / Appraisal, Work Satisfaction",
JAAC TECHNO SERVICES,4.3,82,Industrial Machinery , 201-500 Employees , 15 years old ," Vadodara +14 more
								   Highly Rated For Skill Development / Learning, Work Life Balance, Work Satisfaction",
Tekshapers Software Solutions,3.0,82,IT Services & Consulting , 201-500 Employees , 15 years old ," Troy +4 more
								    Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
YCH Logistics,4.1,82,Logistics , 51-200 Employees , 69 years old ," Singapore +17 more
								   Highly Rated For Job Security, Company Culture, Work Satisfaction",
P&R Infraprojects,4.2,82,Engineering & Construction , 201-500 Employees , 38 years old ," Chandigarh +13 more
								   Highly Rated For Skill Development / Learning, Job Security, Company Culture",
Iprogrammer Solutions,4.2,82,IT Services & Consulting , 51-200 Employees , 17 years old ," Missoula +1 more
								   Highly Rated For Skill Development / Learning, Work Satisfaction, Salary & Benefits",
EDUGORILLA COMMUNITY,3.7,82,Education & Training , 201-500 Employees , Startup , 8 years old , Lucknow +2 more
Digamber Finance,3.8,82,Financial Services , 10k-50k Employees ," Jaipur +22 more
								   Highly Rated For Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",,
Profectus Capital,4.2,82,Financial Services , 51-200 Employees , 7 years old ," Mumbai +21 more
								   Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance",
Nivara Home Finance,4.1,82,Financial Services , 51-200 Employees , 10 years old ," Bengaluru +18 more
								   Highly Rated For Work Satisfaction, Skill Development / Learning, Work Life Balance",
